359,2,7,9,0,19,0,85855,1802,7681,5
841,4,2,8,21,22,5,88011,5666,8167,3
604,3,7,16,33,13,4,68076,3856,4176,3
586,3,9,4,2,15,49,33852,7896,0067,5
998,8,7,14,33,0,3,75633,3971,0610,1
651,3,7,20,40,6,29,06316,3112,7395,1
449,5,4,15,3,1,34,24255,6810,5394,4
944,4,7,22,51,4,35,37115,3769,5016,1
943,1,4,1,51,20,18,16799,4545,7693,1
655,2,9,9,36,19,20,26072,3029,6372,4
191,2,1,4,46,19,27,28645,4628,1914,0
821,3,9,19,41,16,34,30923,4976,4120,4
735,0,1,14,47,19,20,15747,1182,1111,2
350,3,0,15,11,23,42,47150,1428,6954,3
646,3,1,7,38,6,16,88359,0435,0085,3
186,9,2,0,5,16,47,77114,9465,4960,3
122,0,4,8,35,2,7,61360,4428,5609,4
667,9,2,4,37,17,30,24721,9884,5468,1
197,5,3,13,24,21,9,85178,2516,1611,6
349,7,8,4,32,21,53,29264,8826,9406,2
284,2,9,19,3,14,21,52730,7505,7811,1
999,1,0,18,57,23,42,75978,7836,5620,4
156,3,0,6,14,22,2,17287,5017,0580,0
025,8,0,1,33,7,42,47527,0344,6989,3
103,4,2,12,57,13,11,82884,3581,7106,0
758,9,4,23,8,16,37,59084,3684,7034,5
031,4,1,10,13,3,23,75810,4927,3643,6
507,2,2,10,28,22,52,99711,1154,5944,5
443,4,8,19,55,14,38,68855,9968,4024,1
894,3,6,22,1,18,27,31532,3687,3435,4
362,6,8,13,16,7,57,03077,6437,8751,3
279,3,6,8,38,12,58,29146,8392,0092,2
471,0,1,21,47,3,42,26862,8291,1098,4
498,8,0,10,11,12,52,26561,3283,3208,1
764,9,2,23,0,11,41,01366,2073,6158,4
415,8,7,7,49,23,42,60706,3471,7475,0
813,5,2,22,3,0,30,54894,9544,7877,1
172,2,1,5,47,15,51,42932,2666,6021,1
301,7,5,22,15,14,38,48327,1626,1544,5
428,1,5,21,28,0,12,92099,2935,8326,0
984,4,8,19,15,17,45,71292,4567,7749,5
703,9,3,6,41,21,26,37315,9679,8698,1
810,4,0,18,56,1,14,77339,6467,3076,6
966,9,1,17,8,15,6,42989,9253,2369,0
604,6,4,17,36,19,10,39341,9190,6508,2
706,0,4,17,26,9,9,26133,1745,5575,3
076,5,2,14,36,4,34,67397,9240,3408,0
018,8,5,9,21,6,45,80792,6604,4394,4
507,2,5,3,57,0,12,01163,2059,8524,1
031,8,5,20,52,3,4,03992,8011,6866,6
716,3,0,13,53,16,45,26481,3009,0382,6
619,0,7,7,36,3,19,18744,4540,8336,5
598,9,4,13,59,4,58,99194,5029,9352,4
378,8,4,23,42,19,10,24198,1367,6816,0
608,0,5,22,38,11,20,40683,3586,4301,2
095,3,2,0,0,11,30,32556,6413,0496,0
154,8,8,16,3,7,43,08435,9627,1346,1
558,7,3,0,48,2,47,33281,2853,5933,6
968,5,8,1,46,10,43,27574,7030,8591,0
779,1,9,22,24,6,35,08067,5395,1641,3
187,6,0,2,17,15,11,37245,0014,5390,4
187,1,1,19,31,1,5,17124,4150,5309,4
726,7,8,0,26,7,46,23475,9560,6527,1
935,3,2,9,32,20,36,37084,8071,9040,2
719,7,3,16,56,4,5,29167,6302,6212,2
383,3,6,3,46,20,19,47300,8211,8407,2
084,9,4,3,16,4,52,08325,1859,2602,5
967,8,0,12,9,22,11,53800,1892,0661,4
515,5,3,2,10,7,20,11186,4064,2024,5
876,1,9,5,37,7,48,35751,1477,8222,5
830,4,0,3,51,14,52,58051,6739,0011,6
458,3,0,20,57,10,12,16326,9836,3377,1
390,7,0,5,31,8,44,56285,7335,6382,6
799,8,0,19,50,12,7,92389,3979,0887,3
144,0,3,7,4,12,41,22213,8363,6672,3
212,7,9,17,18,10,3,69124,5514,9648,4
109,8,0,15,37,6,51,94209,5906,1737,6
927,0,8,6,39,13,0,92693,2090,5043,3
703,5,8,14,6,1,53,65233,7532,8309,2
616,5,5,0,26,9,13,12704,7059,6102,3
284,0,4,15,3,17,3,46217,1672,1561,3
025,8,2,23,16,17,50,87480,4486,0632,4
802,6,3,16,28,21,12,86153,8583,6249,5
040,0,3,2,58,13,2,79421,6939,5974,3
611,7,5,3,22,22,34,40095,8931,1055,2
530,4,2,19,35,2,39,79635,9113,5110,1
879,2,2,9,26,17,12,85567,7010,4191,1
029,0,2,15,37,23,53,02694,3495,5780,0
256,9,1,11,34,3,32,16636,9495,3856,1
296,2,0,23,59,10,31,60418,1635,8085,4
228,3,9,2,33,14,53,78040,6243,0821,4
854,3,0,19,54,3,12,42121,2010,2965,1
120,8,1,7,45,14,5,34250,0020,8399,2
025,1,2,21,34,7,53,03601,8898,5449,2
175,0,5,12,10,23,36,24143,0897,2017,4
204,1,7,10,58,23,37,50501,0848,2846,4
818,2,8,14,49,3,25,50613,4170,1773,1
572,0,7,8,34,22,36,47901,4658,1018,6
770,0,5,1,23,14,11,28855,9467,2313,5
494,6,7,3,27,16,14,22280,2753,9637,0
577,1,9,21,10,2,25,07320,5411,0693,5
912,8,8,22,43,16,25,62615,4346,5298,5
649,0,2,4,44,20,35,34596,8615,5289,6
856,9,8,12,42,9,18,02467,7287,1721,6
772,8,7,16,59,13,1,74470,8046,7913,2
814,0,3,5,5,2,14,06940,8702,0862,4
767,7,3,12,43,6,44,68285,2689,0036,3
413,9,3,4,4,1,37,38725,7669,8943,1
611,6,4,5,16,1,54,69509,5453,3819,4
386,0,1,16,8,19,46,13779,0896,7005,1
256,0,1,13,15,7,34,59786,9555,6684,1
247,3,5,21,51,20,4,98227,0775,5080,3
867,0,0,9,24,10,26,49553,7971,8373,2
184,1,8,20,5,3,45,65466,9125,2231,5
596,8,9,21,12,0,23,24499,0943,4137,1
031,7,8,11,35,13,50,49608,4321,9468,6
880,9,9,7,53,23,37,05866,5878,7620,2
360,2,1,19,44,19,32,11726,2699,3155,5
908,3,7,9,19,7,24,87505,5113,8622,3
648,3,2,21,26,17,18,96651,9365,2462,5
031,4,9,18,13,9,50,65642,8569,2392,3
481,0,5,9,28,23,57,24735,1841,8747,1
816,1,6,7,8,13,59,94054,3327,2708,0
169,0,6,7,21,1,14,26625,6787,1670,0
368,7,8,23,41,12,2,77292,8891,2168,2
